iter	Passed	Remaining
408	5172	7473
409	5183	7459
410	5194	7444
411	5206	7431
412	5219	7418
413	5230	7403
414	5241	7388
415	5255	7377
416	5266	7362
417	5278	7349
418	5289	7334
419	5300	7320
420	5311	7304
421	5324	7292
422	5335	7278
423	5353	7273
424	5364	7258
425	5376	7244
426	5387	7229
427	5398	7215
428	5409	7200
429	5421	7186
430	5432	7171
431	5445	7159
432	5456	7145
433	5467	7130
434	5479	7116
435	5490	7102
436	5501	7087
437	5512	7073
438	5523	7059
439	5534	7044
440	5550	7035
441	5564	7025
442	5579	7015
443	5594	7006
444	5609	6996
445	5625	6987
446	5641	6979
447	5654	6966
448	5665	6952
449	5675	6937
450	5687	6923
451	5699	6910
452	5710	6895
453	5722	6882
454	5733	6867
455	5745	6854
456	5757	6840
457	5768	6826
458	5779	6812
459	5791	6798
460	5801	6783
461	5814	6770
462	5826	6758
463	5839	6745
464	5853	6734
465	5865	6721
466	5878	6709
467	5891	6696
468	5904	6685
469	5916	6671
470	5928	6658
471	5939	6644
472	5951	6630
473	5962	6616
474	5973	6602
475	5984	6588
476	5995	6573
477	6006	6559
478	6018	6545
479	6029	6531
480	6041	6518
481	6054	6506
482	6064	6491
483	6075	6477
484	6086	6463
485	6097	6448
486	6108	6435
487	6121	6422
488	6132	6408
489	6145	6396
490	6157	6383
491	6168	6369
492	6179	6355
493	6191	6341
494	6202	6327
495	6213	6313
496	6224	6300
497	6235	6286
498	6247	6272
499	6260	6260
500	6271	6246
501	6283	6233
502	6295	6220
503	6307	6207
504	6320	6195
505	6331	6181
506	6344	6169
507	6360	6160
508	6376	6150
509	6391	6140
510	6406	6130
511	6420	6119
512	6431	6105
513	6442	6091
514	6454	6078
515	6471	6069
516	6488	6061
517	6499	6048
518	6511	6034
519	6527	6025
520	6542	6015
521	6559	6006
522	6575	5996
523	6590	5987
524	6606	5977
525	6629	5974
526	6645	5964
527	6656	5950
528	6667	5936
529	6679	5923
530	6691	5910
531	6703	5896
532	6714	5883
533	6725	5868
534	6736	5855
535	6748	5842
536	6760	5828
537	6771	5814
538	6783	5801
539	6793	5787
540	6805	5774
541	6818	5761
542	6830	5748
543	6841	5734
544	6853	5721
545	6864	5707
546	6877	5695
547	6890	5683
548	6903	5671
549	6917	5659
550	6929	5646
551	6941	5633
552	6954	5621
553	6967	5609
554	6981	5598
555	6994	5585
556	7007	5572
557	7020	5561
558	7033	5548
559	7045	5536
560	7058	5523
561	7071	5511
562	7084	5499
563	7097	5486
564	7113	5476
565	7131	5468
566	7143	5455
567	7156	5443
568	7169	5430
569	7182	5418
570	7196	5406
571	7207	5392
572	7219	5380
573	7231	5366
574	7241	5352
575	7254	5340
576	7267	5327
577	7282	5316
578	7294	5304
579	7307	5291
580	7320	5279
581	7333	5266
582	7350	5257
583	7363	5245
584	7378	5234
585	7390	5221
586	7402	5208
587	7417	5196
588	7430	5185
589	7444	5173
590	7457	5160
591	7470	5148
592	7483	5135
593	7495	5123
594	7508	5110
595	7520	5098
596	7534	5085
597	7548	5074
598	7561	5062
599	7573	5049
600	7587	5037
601	7600	5024
602	7614	5012
603	7626	5000
604	7638	4987
605	7651	4974
606	7664	4962
607	7679	4951
608	7692	4938
609	7704	4925
610	7717	4913
611	7730	4900
612	7743	4888
613	7755	4875
614	7767	4862
615	7780	4850
616	7792	4837
617	7804	4824
618	7817	4811
619	7830	4799
620	7844	4787
621	7856	4774
622	7867	4760
623	7879	4748
624	7891	4734
625	7903	4721
626	7915	4708
627	7927	4695
628	7939	4683
629	7951	4669
630	7962	4656
631	7973	4642
632	7984	4629
633	7995	4615
634	8007	4602
635	8019	4589
636	8030	4576
637	8042	4563
638	8054	4550
639	8065	4536
640	8077	4523
641	8088	4510
642	8099	4496
643	8111	4484
644	8124	4471
645	8135	4458
646	8148	4445
647	8160	4432
648	8172	4419
649	8183	4406
650	8195	4393
651	8207	4380
652	8218	4367
653	8230	4354
654	8241	4340
655	8254	4328
656	8272	4318
657	8288	4307
658	8304	4297
659	8321	4286
660	8338	4276
661	8355	4266
662	8377	4258
663	8396	4249
664	8414	4238
665	8432	4228
666	8450	4218
667	8468	4208
668	8484	4197
669	8498	4185
670	8511	4173
671	8524	4160
672	8537	4148
673	8550	4135
674	8563	4123
675	8577	4111
676	8590	4098
677	8601	4085
678	8612	4071
679	8624	4058
680	8636	4045
681	8648	4032
682	8660	4019
683	8672	4006
684	8684	3993
685	8695	3980
686	8706	3966
687	8718	3953
688	8729	3940
689	8740	3926
690	8752	3914
691	8763	3900
692	8776	3887
693	8787	3874
694	8802	3863
695	8814	3849
696	8825	3836
697	8837	3823
698	8850	3811
699	8859	3797
700	8871	3783
701	8882	3770
702	8896	3758
